lista;Gruppo;ID frase;ID_Condizione;Cond;Bias di genere;Parola target;Corretto;rt_determinante;rt_nome;rt_verbo1;rt_pronome;rt_verbo2;q_words;Accordo v-v;Accordo sostantivo-sostantivo;Frase completa;RT_word_0;RT_word_1;RT_word_2;RT_word_3;RT_word_4;RT_word_5;RT_word_6;RT_word_7;RT_word_8;RT_word_9;RT_word_10;RT_word_11;RT_word_12;RT_word_13;RT_word_14;part;ID;eta;id_genero;nazionalita;residenza;lingua;educazione;occhiali;mail;tiempo_total
B;DG;103;gender55;g_masc;masc;idraulico;yes;2178.0;764.0;875.0;1059.0;1429.0;13.0;si;si;"Gli idraulici riparano la principale tubatura rotta; tutti ripristinano l' acqua corrente nell' intero edificio.";2178.0;764.0;875.0;896.0;1377.0;1300.0;2272.0;1059.0;1429.0;1256.0;842.0;904.0;855.0;867.0;869.0;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;50;gender2;g_fem;fem;infermiere;yes;832.0;1578.0;1130.0;808.0;1083.0;14.0;si;si;"Le infermiere controllano i turni di guardia del giorno; tutte trovano degli errori madornali.";832.0;1578.0;1130.0;1057.0;926.0;1095.0;768.0;885.0;1200.0;808.0;1083.0;1016.0;2037.0;1370.0;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;53;gender5;g_masc;fem;bibliotecario;no;788.0;866.0;926.0;924.0;911.0;14.0;si;si;"I bibliotecari organizzano alfabeticamente i nuovi libri; tutti eseguono il lavoro in modo rigoroso.";788.0;866.0;926.0;2931.0;781.0;904.0;2275.0;924.0;911.0;755.0;776.0;1858.0;660.0;995.0;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;55;gender7;g_masc;fem;segretario;yes;728.0;1640.0;1192.0;1029.0;1377.0;13.0;no;no;"I segretari ricevono la documentazione ufficiale; tutti raccolgono le firme in ogni dipartimento.";728.0;1640.0;1192.0;828.0;1169.0;955.0;1029.0;1377.0;725.0;858.0;907.0;1524.0;2237.0;;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;60;gender12;g_fem;fem;psicologo;yes;664.0;1099.0;1648.0;1444.0;931.0;13.0;no;no;"Le psicologhe organizzano una seduta collettiva; tutte offrono consulenza gratuita negli ambulatori pubblici.";664.0;1099.0;1648.0;846.0;1236.0;1384.0;1444.0;931.0;1187.0;1039.0;2938.0;949.0;1446.0;;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;76;gender28;g_fem;fem;logopedista;yes;684.0;1561.0;869.0;1064.0;1194.0;13.0;no;no;"Le ginecologhe visitano le pazienti con le infermiere; tutte controllano la crescita fetale.";684.0;1561.0;869.0;1181.0;759.0;1154.0;842.0;1727.0;1064.0;1194.0;778.0;1566.0;1304.0;;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;77;gender29;g_masc;masc;camionista;no;715.0;797.0;1083.0;969.0;1039.0;15.0;si;si;"I giardinieri curano il parco pubblico; tutti potano gli alberi malati alla fine dell' inverno.";715.0;797.0;1083.0;891.0;635.0;1230.0;969.0;1039.0;1015.0;718.0;1005.0;1118.0;3395.0;859.0;1494.0;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;80;gender32;g_fem;masc;fabbro;yes;781.0;3301.0;1302.0;1285.0;1547.0;14.0;no;no;"Le fabbre saldano la nuova rete metallica; tutte eseguono un lavoro di squadra eccellente.";781.0;3301.0;1302.0;1916.0;1616.0;1378.0;1137.0;1285.0;1547.0;1173.0;1271.0;1155.0;1093.0;1125.0;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;86;gender38;g_fem;masc;pompiere;no;571.0;754.0;1456.0;816.0;708.0;14.0;si;si;"Le becchine preparano la salma per la sepoltura; tutte aspettano in un rigoroso silenzio.";571.0;754.0;1456.0;1148.0;1501.0;717.0;589.0;897.0;816.0;708.0;1502.0;1514.0;1782.0;1046.0;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;87;gender39;g_masc;masc;meccanico;yes;941.0;2086.0;1564.0;1804.0;1269.0;13.0;no;no;"I meccanici riparano il motore dell' automobile; tutti offrono un servizio eccellente al cliente.";941.0;2086.0;1564.0;1228.0;1412.0;1554.0;1076.0;1804.0;1269.0;2182.0;1357.0;1185.0;3142.0;1064.0;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;92;gender44;g_fem;masc;marinaio;yes;815.0;2440.0;778.0;1346.0;1149.0;13.0;no;no;"Le marinaie ricevono le indicazioni dal porto; tutte manovrano con destrezza la nave.";815.0;2440.0;778.0;772.0;1393.0;778.0;1596.0;1346.0;1149.0;874.0;1376.0;770.0;1174.0;;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
D;DG;105;gender57;g_masc;masc;ministro;no;2709.0;939.0;1260.0;1100.0;3841.0;15.0;si;si;"I ministri partecipano alla riunione di gabinetto; tutti attendevano impazientemente dei dettagli sul piano economico.";2709.0;939.0;1260.0;556.0;674.0;885.0;751.0;1100.0;3841.0;769.0;968.0;1815.0;574.0;579.0;879.0;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;108;gender60;g_fem;masc;deputato;no;520.0;918.0;719.0;2362.0;1147.0;14.0;no;no;"Le deputate presentano un nuovo decreto sui trasporti; tutte sperano in una approvazione unanime.";520.0;918.0;719.0;922.0;951.0;619.0;734.0;1001.0;2362.0;1147.0;1266.0;1178.0;752.0;682.0;;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;52;gender4;g_fem;fem;astrologo;yes;514.0;1380.0;1491.0;590.0;983.0;14.0;si;si;"Le astrologhe analizzano le carte astrali; tutte formulano la loro predizione per l' anno futuro.";514.0;1380.0;1491.0;612.0;682.0;962.0;590.0;983.0;468.0;692.0;804.0;1109.0;473.0;1046.0;772.0;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;57;gender9;g_masc;fem;ostetrico;yes;442.0;1038.0;1817.0;1087.0;962.0;13.0;no;no;"Gli ostetrici assistono molte partorienti in ospedale; tutti supportano le madri in travaglio.";442.0;1038.0;1817.0;1498.0;1430.0;1147.0;603.0;1087.0;962.0;744.0;1005.0;469.0;1113.0;;;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;61;gender13;g_masc;fem;maestro;no;714.0;1197.0;1521.0;1269.0;736.0;14.0;si;si;"I maestri comprano dei quaderni a quadretti; tutti preparano il necessario per le lezioni.";714.0;1197.0;1521.0;1619.0;849.0;956.0;1095.0;1269.0;736.0;742.0;1169.0;516.0;813.0;652.0;;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
